country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cuba,2.05M,1.59M,320k,−1.33M,3.49M,4.32M,5.32M,5.38M,4.6M,8.88M,12.1M,15.3M,19.9M,24.4M,60.4M,68.9M,160M,148M,147M,123M,111M,70.6M,92.3M,96.9M,98.6M,112M,91.4M,93.6M,108M,107M,80.3M,55.6M,35.2M,68.6M,70.9M,88.3M,80.5M,100M,122M,94M,77.7M,94.3M,102M,106M,126M,109M,98.7M,107M,126M,117M,138M,86.5M,85.1M,99.3M,227M,621M,3.09B,753M,766M,498M,555M,152M,145M
Cayman Islands,,,,,,,,,,,,,,,10.3M,6.95M,9.7M,6.68M,11.8M,2.31M,3.71M,2.66M,1.49M,970k,920k,160k,4.29M,4.14M,22.1M,2.29M,4.77M,−410k,80k,−530k,−1.39M,−660k,−2.55M,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,281M,208M,146M,109M,42.9M,61.1M,13.1M,10.3M,6.15M,24.5M,43.3M,37.7M,43.8M,41M,101M,127M,219M,337M,153M,84.9M,135M,124M,83.9M,50.3M,46.2M,92.1M,76.6M,82.8M,82M,76M,66.5M,65.9M,41.4M,54.5M,68.6M,30.5M,33.1M,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,49M,71.9M,69M,73.4M,83.4M,70.4M,75.7M,90.2M,130M,121M,99.2M,158M,315M,58.3M,174M,165M,156M,179M,288M,229M,253M,197M,164M,135M,323M,159M,157M,205M,178M,122M,120M,119M,112M,108M,107M,97.7M,114M,104M,77.4M,88M,133M,108M,133M,156M,130M,138M,147M,149M,165M,196M,210M,157M,189M,282M,274M,176M,65.6M
Dominica,,,,,,,,,,,,,,450k,19.6M,35.3M,19.6M,21.1M,27.3M,28.5M,45.8M,40.1M,44.6M,27.6M,42.2M,47M,28M,31.4M,33.6M,43.3M,30.8M,27.4M,18.5M,14.4M,27.6M,29.6M,57.4M,19.1M,28.5M,12.4M,21.1M,30.3M,41.2M,14.1M,33M,25.4M,22.9M,18.6M,20.5M,35.3M,33.1M,22.9M,26M,19.8M,16M,13.3M,9.53M,21.6M,29M,56.2M,68.5M,79.1M,62.5M
Dominican Republic,1.54M,1.25M,155M,328M,160M,529M,341M,371M,263M,201M,197M,130M,125M,93.9M,71.6M,80.3M,91.3M,53.1M,63.2M,135M,185M,163M,243M,153M,343M,379M,149M,219M,194M,234M,145M,118M,109M,−16.3M,83.6M,110M,105M,88.8M,158M,265M,85.5M,170M,233M,106M,122M,117M,102M,156M,183M,146M,206M,240M,277M,152M,169M,320M,201M,131M,95.9M,141M,394M,448M,409M
Algeria,3.39B,4.06B,3.43B,2.31B,1.78B,1.13B,938M,793M,851M,911M,853M,814M,632M,605M,576M,894M,531M,432M,544M,271M,477M,469M,405M,266M,393M,558M,388M,411M,312M,296M,500M,311M,517M,488M,441M,388M,405M,367M,632M,213M,336M,350M,306M,324M,383M,409M,272M,403M,310M,290M,205M,190M,153M,205M,157M,80.6M,165M,195M,154M,190M,222M,214M,233M
Ecuador,48.9M,84.3M,95.3M,117M,131M,147M,167M,177M,147M,109M,127M,131M,109M,147M,128M,156M,187M,118M,91.3M,145M,78.8M,92.8M,111M,135M,190M,204M,212M,360M,279M,249M,234M,309M,317M,282M,279M,238M,310M,229M,259M,227M,248M,279M,363M,285M,246M,321M,261M,251M,256M,242M,180M,191M,164M,157M,169M,369M,278M,234M,428M,555M,363M,301M,397M
Egypt,1.64B,839M,1.32B,1.5B,1.69B,890M,676M,247M,238M,66.6M,1.2B,879M,800M,4.43B,6.17B,9.95B,9.29B,9.32B,8.37B,4.42B,3.67B,3.35B,3.7B,3.6B,4.34B,4.19B,3.56B,3.45B,2.78B,3.07B,10.3B,8.89B,5.87B,3.81B,4.09B,2.75B,3.07B,2.97B,2.99B,2.43B,2.15B,2.07B,1.99B,1.42B,1.94B,1.33B,1.1B,1.35B,1.87B,1.05B,639M,416M,1.66B,5.42B,3.58B,2.96B,2.95B,169M,2.22B,1.86B,1.65B,7.94B,6.08B
Eritrea,,,,,,,,,,,,190k,,3.08M,9.67M,6.42M,,7.49M,15.2M,11.3M,11.7M,14.4M,11.8M,11.8M,12.1M,,2.19M,3.79M,3.53M,,7.18M,,1.46M,114M,241M,213M,228M,184M,253M,234M,294M,479M,358M,442M,345M,443M,146M,135M,117M,146M,173M,128M,138M,81.6M,84.8M,107M,76.5M,88.2M,90.4M,291M,65M,44M,57.3M
